Clf Name,Accuracy,F1 Score,ROC score
SVC,0.9122641509433962,0.9541193882585101,0.5
NB,0.2858490566037736,0.2119285926948364,0.5065383460653168
RF,0.9132075471698113,0.8761281658399881,0.5150949060946726
KNN,0.9122641509433962,0.875601976841789,0.5145778430129766
LoR,0.9122641509433962,0.9541193882585101,0.5
DT,0.8603773584905661,0.9232365145228216,0.5784657126018836
XGB,0.9047169811320754,0.9497762307309795,0.5153006193637344
SGD,0.9113207547169812,0.9535573122529645,0.5043422179226296
